"Region, development group of destination",WORLD,  Sub-Saharan Africa,  Northern Africa and Western Asia,  Central and Southern Asia,  Eastern and South-Eastern Asia,  Latin America and the Caribbean,  Oceania (excluding Australia and New Zealand),  Australia and New Zealand,  Europe and Northern America,  Developed regions,  Less developed regions," Less developed regions, excluding least developed countries"," Less developed regions, excluding China",  Least developed countries,  Land-locked Developing Countries (LLDC),  Small island developing States (SIDS),  High-income countries,  Middle-income countries, Upper-middle-income countries, Lower-middle-income countries,  Low-income countries, AFRICA,  Eastern Africa,  Middle Africa,  Northern Africa,  Southern Africa,  Western Africa, ASIA,  Central Asia,  Eastern Asia,  South-Eastern Asia,  Southern Asia,  Western Asia, EUROPE,  Eastern Europe,  Northern Europe,  Southern Europe,  Western Europe, LATIN AMERICA AND THE CARIBBEAN,  Caribbean,  Central America,  South America, NORTHERN AMERICA, OCEANIA ,  Australia and New Zealand,  Melanesia,  Micronesia,  Polynesia*,OTHER
WORLD,280598105,28284538,37563820,51229549,38400740,42890481,565281,1404924,67601621,69815370,198125584,150520987,186511434,47604597,35277768,11559408,52808019,177395834,87648518,89747316,37419672,40567163,12027289,4420662,12282625,1278435,10558152,114911484,7835504,14820004,23580736,43394045,25281195,63273663,32194352,7884780,14017111,9177420,42890481,9078772,16198974,17612735,4327958,1970205,1404924,256021,50998,258262,12657151
  Sub-Saharan Africa,22221538,17808594,1239160,128690,51394,30679,2068,11054,527437,541895,19257181,4090210,19226034,15166971,8887538,248644,590270,6021306,412419,5608887,13147474,18993545,6865566,3155809,1184951,435497,7351722,234293,2188,41209,10185,126502,54209,497863,36130,115166,85347,261220,30679,13685,1051,15943,29574,13122,11054,146,82,1840,2422462
  Northern Africa and Western Asia,49767746,2263512,19145437,19093586,4377077,68381,1,12329,2772902,2790395,44942830,35578068,44909515,9364762,3442954,23802,1888301,33927565,6258527,27669038,11754346,6567141,2016932,155213,4303629,18068,73299,38312471,99664,40891,4336186,18993922,14841808,2600363,1355185,197411,360268,687499,68381,329,3939,64113,172539,12330,12329,1,0,0,2034521
  Central and Southern Asia,19427576,56069,330579,11454177,1931473,14684,779,4677,4590984,4612050,13771372,4974131,13477994,8797241,5903309,51228,379595,13517912,4856366,8661546,4485915,56405,54884,0,336,262,923,13715893,491804,410936,1520537,10962373,330243,4507238,4412734,71113,5844,17547,14684,56,0,14628,83746,5456,4677,779,0,0,1044154
  Eastern and South-Eastern Asia,19591106,14862,29006,2051518,15367927,333438,1168,84132,518524,710241,17690334,12501179,12260107,5189155,1700311,160140,1913544,16468832,8696270,7772562,18199,20577,3492,689,5715,3024,7657,17442736,59664,6238856,9129071,1991854,23291,212621,22572,115133,16859,58057,333438,145,2962,330331,305903,85300,84132,62,1106,0,1190531
  Latin America and the Caribbean,14794623,39576,80477,30246,300861,11297173,179,5451,2648939,2739482,11663420,10763261,11497992,900159,1394221,1439985,3360068,10099478,8799078,1300400,905926,48791,4229,13934,9215,3208,18205,402369,150,285746,15115,30096,71262,1355886,56427,64623,895094,339742,11297173,1335731,827876,9133566,1293053,5630,5451,12,143,24,391721
  Oceania (excluding Australia and New Zealand),313069,54,2546,6020,82715,5094,69783,21372,101312,126045,162851,151564,154219,11287,749,62921,147904,128897,48703,80194,0,2600,54,0,2546,0,0,88735,0,16808,65907,6020,0,74042,25,2372,617,71028,5094,5094,0,0,27270,91155,21372,12567,22707,34509,24173
  Australia and New Zealand,9067584,504945,439410,1241100,2361394,209475,319996,696555,3136402,3902982,5006295,4564617,4086761,441678,339810,447858,4224660,4470771,2399850,2070921,185156,585073,187620,8737,80128,277311,31277,3961776,5389,1149596,1211798,1235711,359282,2909353,194868,1734126,624909,355450,209475,6593,22048,180834,227049,1016551,696555,152722,4096,163178,158307
  Europe and Northern America,145414863,7596926,16297205,17224212,13927899,30931557,171307,569354,53305121,54392280,85631301,77897957,80898812,7733344,13608876,9124830,40303677,92761073,56177305,36583768,6922656,14293031,2894512,1086280,6696105,541065,3075069,40753211,7176645,6635962,7291937,10047567,9601100,51116297,26116411,5584836,12028173,7386877,30931557,7717139,15341098,7873320,2188824,740661,569354,89732,22864,58711,5391282
  Developed regions,157253443,8107315,16738574,18564576,18260316,31401278,491303,1281033,56578680,58447543,92975532,84780609,86547616,8194923,13948686,9575721,45130736,99119662,59748598,39371064,7107812,14885507,3082132,1095017,6778192,818376,3111790,46785274,7182034,9017654,9242662,11382542,9960382,54093598,26322046,7342483,12661572,7767497,31401278,7723732,15365881,8311665,2485082,1772336,1281033,242454,26960,221889,5830368
  Less developed regions,123344662,20177223,20825246,32664973,20140424,11489203,73978,123891,11022941,11367827,105150052,65740378,99963818,39409674,21329082,1983687,7677283,78276172,27899920,50376252,30311860,25681656,8945157,3325645,5504433,460059,7446362,68126210,653470,5802350,14338074,32011503,15320813,9180065,5872306,542297,1355539,1409923,11489203,1355040,833093,9301070,1842876,197869,123891,13567,24038,36373,6826783
" Less developed regions, excluding least developed countries",107159937,9537042,19534187,31916084,18358006,11448272,67835,121061,10839685,11166659,90655513,62366486,85712663,28289027,15954191,1815287,7398393,73110566,27125684,45984882,21093242,13831063,3395068,1143000,4294021,404360,4594614,65514256,646683,5539720,12818286,31269401,15240166,9053571,5871248,489606,1335811,1356906,11448272,1340417,832125,9275730,1786114,188896,121061,11524,22098,34213,5337765
" Less developed regions, excluding China",118939005,20177223,20825246,32609589,16175946,11421146,73978,108008,10928287,11237195,101082228,61685872,98930407,39396356,21319341,1973378,7063457,74691542,24895061,49796481,30311860,25681656,8945157,3325645,5504433,460059,7446362,64106348,653470,2597969,13577977,31956119,15320813,9141989,5869919,516076,1352238,1403756,11421146,1355040,833093,9233013,1786298,181986,108008,13567,24038,36373,6619582
  Least developed countries,16184725,10640181,1291059,748889,1782418,40931,6143,2830,183256,201168,14494539,3373892,14251155,11120647,5374891,168400,278890,5165606,774236,4391370,9218618,11850593,5550089,2182645,1210412,55699,2851748,2611954,6787,262630,1519788,742102,80647,126494,1058,52691,19728,53017,40931,14623,968,25340,56762,8973,2830,2043,1940,2160,1489018
  Land-locked Developing Countries (LLDC),15022720,6097882,1629483,1178114,208782,280364,863,1748,4788228,4795579,9389885,3435514,9328454,5954371,3667638,9589,203286,8240771,5061205,3179566,5740288,7199642,3354850,1269379,1101760,61692,1411961,1914619,523493,175988,32794,654621,527723,4769118,4558639,33756,134243,42480,280364,5890,14312,260162,19110,2611,1748,2,0,861,837256
  Small island developing States (SIDS),5678001,55288,190974,1067273,2055703,1157533,68462,36717,582238,623316,4590872,3682792,4045782,908080,8827,989110,821029,3707850,2336183,1371667,642263,168400,22062,3622,113112,1405,28199,3200838,10,554857,1500846,1067263,77862,276585,2734,33146,26427,214278,1157533,868835,64703,223995,305653,105179,36717,11479,22707,34276,463813
  High-income countries,181897756,8494297,21642869,32310426,29018421,33714977,528577,1322379,47333917,49284055,125081808,109144784,114538851,15937024,8314937,10253178,45839206,117946103,59946932,57999171,10493994,18928986,3414902,1103589,10434689,837126,3138680,72537027,1696981,13177667,15840754,30613445,11208180,44341619,17626463,7187799,11722099,7805258,33714977,8323845,15426093,9965039,2992298,1850956,1322379,248926,45886,233765,7531893
  Middle-income countries,85895533,10519512,10519512,18755695,9322165,9015116,32629,78626,19731350,19989655,61373678,38673953,60343197,22699725,22260387,1032284,6616973,55810379,27051049,28759330,18737963,11198245,3393242,1430229,678733,405004,5291037,41307367,6111536,1590681,7731484,12644159,13229507,18406391,14329066,690709,2280608,1106008,9015116,669410,771913,7573793,1324959,111255,78626,5398,5083,22148,4532200
 Upper-middle-income countries,57383443,2584922,12566666,10017995,7135414,8774782,25555,54425,14177798,14374719,40962838,31198486,40341528,9764352,14739614,895819,5656006,38866884,20596985,18269899,10811121,2895521,1564151,383173,310599,347176,290422,29409476,5520986,1120415,6014999,4497009,12256067,13039726,9312943,536174,2222654,967955,8774782,663344,671416,7440022,1138072,79980,54425,2191,1643,21721,2045886
 Lower-middle-income countries,28512090,7934590,1341574,8737700,2186751,240334,7074,24201,5553552,5614936,20410840,7475467,20001669,12935373,7520773,136465,960967,16943495,6454064,10489431,7926842,8302724,1829091,1047056,368134,57828,5000615,11897891,590550,470266,1716485,8147150,973440,5366665,5016123,154535,57954,138053,240334,6066,100497,133771,186887,31275,24201,3207,3440,427,2486314
  Low-income countries,12232043,9137863,2011300,163247,57379,28692,1871,329,298517,300233,11398965,2589406,11360073,8809559,4701100,74737,102128,3474543,579030,2895513,8121431,10306328,5091593,1886844,1168465,36229,2123197,1063461,26987,49836,7543,136260,842835,289706,238823,3709,13376,33798,28692,14616,968,13108,8811,2200,329,25,29,1817,532845
 AFRICA,25389464,19378341,2497202,147995,101658,32524,2068,12415,702018,720067,22154154,5357102,22117420,16797052,10005973,257984,826988,6901516,649240,6252276,14942739,20917565,8244689,3300476,1539224,436677,7396499,1207631,6700,50202,51456,141295,957978,648455,57245,132141,112620,346449,32524,13714,2089,16721,53563,14483,12415,146,82,1840,2515243
  Eastern Africa,7682801,6323588,728695,52982,9142,57,0,373,146097,146771,7114163,439317,7106749,6674846,3222705,132081,169908,831876,66474,765402,6251565,7031623,4989040,1251025,708035,66040,17483,82784,0,7979,1163,52982,20660,142162,405,18334,5796,117627,57,57,0,0,3935,373,373,0,0,0,421867
  Middle Africa,3861568,2556505,404972,0,1641,531,0,10,65744,65783,2963620,480825,2962359,2482795,1374184,26228,63295,842079,115229,726850,2124029,2957755,436882,1570589,401250,7249,541785,5363,0,1641,0,0,3722,62806,2701,318,9287,50500,531,531,0,0,2938,10,10,0,0,0,832165
  Northern Africa,3167926,1569747,1258042,19305,50264,1845,0,1361,174581,178172,2896973,1266892,2891386,1630081,1118435,9340,236718,880210,236821,643389,1795265,1924020,1379123,144667,354273,1180,44777,973338,4512,8993,41271,14793,903769,150592,21115,16975,27273,85229,1845,29,1038,778,23989,1361,1361,0,0,0,92781
  Southern Africa,3125072,2035175,28309,70151,29086,13774,197,10626,272171,285020,2174469,1167498,2157362,1006971,1254737,16906,296356,1500956,171233,1329723,661484,2047496,1433038,187553,12321,360129,54455,115225,42,21637,7449,70109,15988,254975,31512,93943,62236,67284,13774,3442,647,9685,17196,10823,10626,121,53,23,665583
  Western Africa,7552097,6893326,77184,5557,11525,16317,1871,45,43425,44321,7004929,2002570,6999564,5002359,3035912,73429,60711,2846395,59483,2786912,4110396,6956671,6606,146642,63345,2079,6737999,30921,2146,9952,1573,3411,13839,37920,1512,2571,8028,25809,16317,9655,404,6258,5505,1916,45,25,29,1817,502847
 ASIA,85618502,764696,18246980,32579976,21626213,414658,1948,99777,7707829,7934514,73507563,51786486,67756230,21721077,9928139,225830,3944722,63034099,19574342,43459757,14463195,4720103,696185,11235,3955407,20174,37102,68497762,646620,6681690,14944523,31933356,14291573,7169630,5769376,366682,355698,677874,414658,501,5863,408294,538199,101725,99777,842,1106,0,4176425
  Central Asia,5564042,41,167108,501215,103230,20,0,107,4434810,4434917,771614,758942,769032,12672,621945,20,61098,5034407,4099433,934974,111026,169,21,0,128,0,20,771425,484776,103107,123,16439,166980,4434490,4411336,11520,0,11634,20,20,0,0,320,107,107,0,0,0,357511
  Eastern Asia,8975729,9420,2195,317882,7382944,331677,0,40224,341949,425392,8000899,7833182,3346749,167717,141262,13342,1357467,7068146,5249835,1818311,678,11379,0,0,1959,2160,7260,7701062,59664,5342694,2040250,258218,236,126271,22061,56013,11814,36383,331677,0,2735,328942,215678,40224,40224,0,0,0,549438
  South-Eastern Asia,10615377,5442,26811,1733636,7984983,1761,1168,43908,176575,284849,9689435,4667997,8913358,5021438,1559049,146798,556077,9400686,3446435,5954251,17521,9198,3492,689,3756,864,397,9741674,0,896162,7088821,1733636,23055,86350,511,59120,5045,21674,1761,145,227,1389,90225,45076,43908,62,1106,0,641093
  Southern Asia,13863534,56028,163471,10952962,1828243,14664,779,4570,156174,177133,12999758,4215189,12708962,8784569,5281364,51208,318497,8483505,756933,7726572,4374889,56236,54863,0,208,262,903,12944468,7028,307829,1520414,10945934,163263,72748,1398,59593,5844,5913,14664,36,0,14628,83426,5349,4570,779,0,0,686643
  Western Asia,46599820,693765,17887395,19074281,4326813,66536,1,10968,2598321,2612223,42045857,34311176,42018129,7734681,2324519,14462,1651583,33047355,6021706,27025649,9959081,4643121,637809,10546,3949356,16888,28522,37339133,95152,31898,4294915,18979129,13938039,2449771,1334070,180436,332995,602270,66536,300,2901,63335,148550,10969,10968,1,0,0,1941740
 EUROPE,86706068,5130000,13875822,11542097,3680331,5395924,14313,382723,45346729,45897927,39470012,35063075,38100932,4406937,11977744,1651010,28629152,51983186,30361486,21621700,4736532,11024274,1853035,900913,5894274,372799,2003253,23203976,7032154,1749293,1931038,4509943,7981548,44246425,23888697,3974193,10320837,6062698,5395924,918445,397416,4080063,1100304,397036,382723,11153,705,2455,1338129
  Eastern Europe,20835402,23498,2137507,5663304,260006,23807,773,5705,12223867,12235818,8102649,8070611,8004617,32038,7881833,7591,2017115,17752691,10712602,7040089,568517,47212,5891,4335,23714,2785,10487,8037103,5608308,156229,103777,54996,2113793,12157908,10787095,546407,326399,498007,23807,5294,4316,14197,65959,6478,5705,59,58,656,496935
  Northern Europe,14973861,1829908,1281913,2398039,1185220,589887,9968,246328,7206366,7511623,7236006,5946150,6810578,1289856,700076,444420,7132615,6466266,2912786,3553480,1131617,2030894,1010801,74790,200986,276484,467833,4664186,42629,544672,640548,2355410,1080927,6791001,2804341,2037623,1036509,912528,589887,271966,33792,284129,415365,256296,246328,8868,257,843,226232
  Southern Europe,17665688,1213104,2060227,851401,720192,3688480,1215,69575,9009737,9097740,8516191,7492628,8081451,1023563,933259,603400,5697665,11393783,7020324,4373459,522223,2870736,196293,281276,1657632,31366,704169,1974188,53359,465123,255069,798042,402595,8793412,3253702,603637,3305291,1630782,3688480,443198,273561,2971721,216325,70790,69575,259,357,599,51757
  Western Europe,33231117,2063490,8396175,2629353,1514913,1093750,2357,61115,16906759,17052746,15615166,13553686,15204286,2061480,2462576,595599,13781757,16370446,9715774,6654672,2514175,6075432,640050,540512,4011942,62164,820764,8528499,1327858,583269,931644,1301495,4384233,16504104,7043559,786526,5652638,3021381,1093750,197987,85747,810016,402655,63472,61115,1967,33,357,563205
 LATIN AMERICA AND THE CARIBBEAN,14794623,39576,80477,30246,300861,11297173,179,5451,2648939,2739482,11663420,10763261,11497992,900159,1394221,1439985,3360068,10099478,8799078,1300400,905926,48791,4229,13934,9215,3208,18205,402369,150,285746,15115,30096,71262,1355886,56427,64623,895094,339742,11297173,1335731,827876,9133566,1293053,5630,5451,12,143,24,391721
  Caribbean,1605148,2625,2630,6924,16230,1050647,19,507,420836,422187,1078231,509804,1068943,568427,674,897170,494333,406849,387820,19029,569103,2976,1048,196,351,233,1148,25433,10,10723,5507,6914,2279,178358,1629,21639,20794,134296,1050647,859403,14137,177107,242478,526,507,0,0,19,104730
  Central America,2302001,1382,8752,9373,57169,1194276,7,1207,982489,988988,1265667,1258059,1224777,7608,4448,56216,1034450,1210429,627223,583206,9678,2402,229,270,1020,343,540,74274,7,53196,3973,9366,7732,104038,9068,11178,48582,35210,1194276,51844,743476,398956,878451,1214,1207,1,6,0,47346
  South America,10887474,35569,69095,13949,227462,9052250,153,3737,1245614,1328307,9319522,8995398,9204272,324124,1389099,486599,1831285,8482200,7784035,698165,327145,43413,2952,13468,7844,2632,16517,302662,133,221827,5635,13816,61251,1073490,45730,31806,825718,170236,9052250,424484,70263,8557503,172124,3890,3737,11,137,5,239645
 NORTHERN AMERICA,58708795,2466926,2421383,5682115,10247568,25535633,156994,186631,7958392,8494353,46161289,42834882,42797880,3326407,1631132,7473820,11674525,40777887,25815819,14962068,2186124,3268757,1041477,185367,801831,168266,1071816,17549235,144491,4886669,5360899,5537624,1619552,6869872,2227714,1610643,1707336,1324179,25535633,6798694,14943682,3793257,1088520,343625,186631,78579,22159,56256,4053153
 OCEANIA ,9380653,504999,441956,1247120,2444109,214569,389779,717927,3237714,4029027,5169146,4716181,4240980,452965,340559,510779,4372564,4599668,2448553,2151115,185156,587673,187674,8737,82674,277311,31277,4050511,5389,1166404,1277705,1241731,359282,2983395,194893,1736498,625526,426478,214569,11687,22048,180834,254319,1107706,717927,165289,26803,197687,182480
  Australia and New Zealand,9067584,504945,439410,1241100,2361394,209475,319996,696555,3136402,3902982,5006295,4564617,4086761,441678,339810,447858,4224660,4470771,2399850,2070921,185156,585073,187620,8737,80128,277311,31277,3961776,5389,1149596,1211798,1235711,359282,2909353,194868,1734126,624909,355450,209475,6593,22048,180834,227049,1016551,696555,152722,4096,163178,158307
  Melanesia,124073,27,1865,4820,19986,0,22223,15282,50770,66338,48635,39289,47319,9346,625,10406,67313,35761,18735,17026,0,1892,27,0,1865,0,0,24806,0,1695,18291,4820,0,49774,25,2163,389,47197,0,0,0,0,996,37505,15282,6570,1051,14602,9100
  Micronesia,118860,0,0,985,59588,5094,22808,188,22829,25965,85527,84095,79585,1432,124,27902,43150,68342,7821,60521,0,0,0,0,0,0,0,60573,0,13317,46271,985,0,7,0,7,0,0,5094,5094,0,0,22822,22996,188,826,21575,407,7368
  Polynesia*,70136,27,681,215,3141,0,24752,5902,27713,33742,28689,28180,27315,509,0,24613,37441,24794,22147,2647,0,708,27,0,681,0,0,3356,0,1796,1345,215,0,24261,0,202,228,23831,0,0,0,0,3452,30654,5902,5171,81,19500,7705